expression,reading,meaning_en,meaning_vi
唉,āi,interjection or grunt of agreement,sự xen vào hoặc càu nhàu đồng ý
爱护,ài hù,to cherish,trân trọng
爱惜,ài xī,to cherish,trân trọng
爱心,ài xīn,compassion,lòng trắc ẩn
安慰,ān wèi,to comfort,an ủi
安装,ān zhuāng,to install,để cài đặt
岸,àn,bank,ngân hàng
把握,bǎ wò,to grasp (also fig.),để nắm bắt (cũng hình.)
摆,bǎi,to arrange,sắp xếp
班主任,bān zhǔ rèn,teacher in charge of a class,giáo viên phụ trách một lớp học
办理,bàn lǐ,to handle,để xử lý
棒,bàng,a stick,một cây gậy
傍晚,bàng wǎn,in the evening,vào buổi tối
包裹,bāo guǒ,wrap up,gói lại
包含,bāo hán,to contain,chứa đựng
包子,bāo zi,steamed stuffed bun,bún nhồi hấp
薄,báo,thin,gầy
宝贝,bǎo bèi,treasured object,vật quý giá
宝贵,bǎo guì,valuable,có giá trị lớn
保持,bǎo chí,to keep,để giữ
保存,bǎo cún,to conserve,để bảo tồn
保留,bǎo liú,to retain,để giữ lại
保险,bǎo xiǎn,insurance,bảo hiểm
报告,bào gào,to inform,để thông báo
悲观,bēi guān,pessimistic,bi quan
被子,bèi zi,quilt,chăn bông
背,bèi,the back of a body or object,mặt sau của cơ thể hoặc vật thể
背景,bèi jǐng,background,lý lịch
本科,běn kē,undergraduate course,khóa học đại học
本领,běn lǐng,skill,kỹ năng
本质,běn zhì,essence,nước hoa
比例,bǐ lì,proportion,tỷ lệ
比如,bǐ rú,for example,Ví dụ
彼此,bǐ cǐ,each other,nhau
必然,bì rán,inevitable,không thể tránh khỏi
必需,bì xū,to need,cần
必要,bì yào,necessary,cần thiết
毕竟,bì jìng,after all,sau tất cả
避免,bì miǎn,to avert,để ngăn chặn
鞭炮,biān pào,firecrackers,pháo nổ
编辑,biān jí,to edit,chỉnh sửa
便,biàn,ordinary,bình thường
辩论,biàn lùn,debate,tranh luận
标点,biāo diǎn,punctuation,dấu câu
标志,biāo zhì,sign,dấu hiệu
表面,biǎo miàn,surface,bề mặt
表明,biǎo míng,to make clear,để làm rõ
表情,biǎo qíng,(facial) expression,(mặt) vẻ mặt
表现,biǎo xiàn,to show,để hiển thị
丙,bǐng,third of 10 heavenly stems 十天干,thứ ba trong 10 thiên can
病毒,bìng dú,virus,vi-rút
玻璃,bō li,glass,thủy tinh
博物馆,bó wù guǎn,museum,bảo tàng
脖子,bó zi,neck,cổ
不必,bù bì,need not,không cần
不断,bù duàn,unceasing,không ngừng
不见得,bù jiàn de,not necessarily,không nhất thiết
不耐烦,bù nài fán,impatience,thiếu kiên nhẫn
不要紧,bù yào jǐn,unimportant,không quan trọng
补充,bǔ chōng,to replenish,để bổ sung
不安,bù ān,unpeaceful,bất bình
不得了,bù dé liǎo,desperately serious,hết sức nghiêm túc
不好意思,bù hǎo yì si,to feel embarrassed,cảm thấy xấu hổ
不免,bù miǎn,inevitably,tất yếu
不然,bù rán,not so,không phải vậy
不如,bù rú,not equal to,không bằng
不足,bù zú,insufficient,không đủ
布,bù,cloth,vải
步骤,bù zhòu,procedure,thủ tục
部门,bù mén,department,phòng
财产,cái chǎn,property,tài sản
踩,cǎi,to step on,bước lên
采访,cǎi fǎng,to interview,phỏng vấn
采取,cǎi qǔ,to adopt or carry out (measures,áp dụng hoặc thực hiện (các biện pháp
彩虹,cǎi hóng,rainbow,cầu vồng
参考,cān kǎo,consultation,tư vấn
参与,cān yù,to participate (in sth),tham gia (vào cái gì đó)
餐厅,cān tīng,dining hall,phòng ăn
残疾,cán jí,disabled,tàn tật
惭愧,cán kuì,ashamed,xấu hổ
操场,cāo chǎng,playground,sân chơi
操心,cāo xīn,to worry about,lo lắng về
册,cè,book,sách
测验,cè yàn,test,Bài kiểm tra
厕所,cè suǒ,toilet,nhà vệ sinh
曾经,céng jīng,once,một lần
插,chā,to insert,để chèn
差别,chā bié,difference,sự khác biệt
叉子,chā zi,fork,cái nĩa
拆,chāi,to tear open,xé mở
产品,chǎn pǐn,goods,hàng hóa
产生,chǎn shēng,to arise,phát sinh
