"expression","reading","meaning","tags","guid","meaning_vi"
"〜 (まる) ごと","〜 (まる) ごと","whole ~, all of ~","JLPT JLPT_2","Ja%uZn!l8Y","toàn bộ ~, tất cả ~"
"(かさを～) さす","(かさを～) さす","to open; hold (an umbrella)","JLPT JLPT_2 MediaMissing","g~n;/-.8!D","để mở; cầm (một chiếc ô)"
"〜(日本) 式","～(にほん) しき","custom,","JLPT JLPT_2 MediaMissing","no!e4=rwH(","phong tục,"
"～位","～い","~th place","JLPT JLPT_2","G*#PQ&xZe;","~vị trí thứ"
"～いち (にほんいち)","～いち (にほんいち)","No. 1 ~ (in)","JLPT JLPT_2","GmGAkPKtVr","Số 1 ~ (trong)"
"～園","～えん","~ garden (especially man made)","JLPT JLPT_2","z)[Ulzmb?X","~ vườn (đặc biệt là nhân tạo)"
"～おしまい (おわり)","～おしまい (おわり)","end up ~","JLPT JLPT_2","B07i&;klYX","kết thúc ~"
"～日","～か","counter for days","JLPT JLPT_2","rDuT4FxT)r","truy cập trong ngày"
"～下","～か","under ~","JLPT JLPT_2","fbg-jA#f{K","dưới ~"
"～化","～か","action of making something","JLPT JLPT_2","jA{o6okAW~","hành động làm cái gì đó"
"～科","～か","family, group, course","JLPT JLPT_2","G*u5fLwYB~","gia đình, nhóm, khóa học"
"～歌","～か","song of ~","JLPT JLPT_2","b!q>|EX?]V","bài hát của ~"
"～画","～が","picture, painting","JLPT_1 JLPT JLPT_2","A:x.SahEv8","bức tranh, bức tranh"
"～外","～がい","out of ~","JLPT JLPT_2","v.D6N)Jn-M","ra khỏi ~"
"～難い","～がたい","hard (difficult) to do ~","JLPT_1 JLPT JLPT_2","q5_^x`K^C~","khó (khó) làm được ~"
"～がち","～がち","tend to do ~","JLPT JLPT_2","HC!2|,O=Uv","có xu hướng làm ~"
"～刊","～かん","~ issued (magazine, newspaper)","JLPT JLPT_2","J]XIoil*2L","~ phát hành (tạp chí, báo)"
"～間","～かん","between, during","JLPT JLPT_2","Qm1qWlocEP","giữa, trong thời gian"
"～巻","～かん","volume","JLPT JLPT_2","K19uzsMb_o","âm lượng"
"～館","～かん","~ hall, ~ building","JLPT JLPT_2","c3uPE$j0G@","~ hội trường, ~ tòa nhà"
"～感","～かん","feeling, sense, impression","JLPT JLPT_2","gv?{M:3Nl+","cảm giác, cảm giác, ấn tượng"
"～期","～き","~age, ~period","JLPT JLPT_2","kCfW%K6Q|D","~tuổi, ~thời kỳ"
"～器","～き","device, equipment","JLPT JLPT_2","u+~Y!_LNSC","thiết bị, thiết bị"
"～機","～き","machine","JLPT JLPT_2","k3|o@N56?1","máy móc"
"～気味","～ぎみ","slightly ~","JLPT JLPT_2","H[Vo.[BxaR","hơi ~"
"～教","～きょう","religion","JLPT JLPT_2","vbb{{,/z36","tôn giáo"
"～行","～ぎょう","line, row","JLPT JLPT_2","E5TA@2@XRb","dòng, hàng"
"～業","～ぎょう","type of business","JLPT JLPT_2","r#B%nh/j8;","loại hình kinh doanh"
"～きる","～きる","nevertheless, to carry through","JLPT JLPT_2","lY)YcCGPox","tuy nhiên, để vượt qua"
"～切れ","～きれ","out of ~","JLPT JLPT_2","BI!R8>v)8r","ra khỏi ~"
"～口","～くち","~ opening; ~ entrance, ~ exit","JLPT JLPT_2","pT(<V!lc5R","~ khai mạc; ~ lối vào, ~ lối ra"
"～家","～け","~'s family, the house of ~","JLPT JLPT_2","OVLMa7l[Gn","~ gia đình, ngôi nhà của ~"
"～形","～けい","shape of ~","JLPT JLPT_2","M3p*&+Wj>%","hình dạng của ~"
"～系","～けい","~ system, ~ lineage, ~ group","JLPT_1 JLPT JLPT_2","AgNe/GkjZM","~ hệ thống, ~ dòng dõi, ~ nhóm"
"～圏","～けん","bloc, sphere, area","JLPT_1 JLPT JLPT_2","Ddk.oC`&.J","khối, hình cầu, diện tích"
"～校","～こう","counter for school","JLPT JLPT_2","m]41H0.3l-","quầy trường học"
"～港","～こう","~ port","JLPT JLPT_2","vQbZYeISYX","~ cổng"
"～号","～ごう","counter for magazine; the name of ship","JLPT JLPT_2","qiAK;eRQt!","quầy tạp chí; tên tàu"
"～国","～こく","nation of ~","JLPT JLPT_2","m~(IN:3:#0","quốc gia ~"
"～毎","～ごと","every ~, each ~","JLPT JLPT_2","Bs7#M8Tn1H","mỗi ~, mỗi ~"
"～山","～さん","the name of mountain","JLPT JLPT_2","vw^f*9f$12","tên của ngọn núi"
"～産","～さん","made in ~","JLPT JLPT_2","tJtC7!P@]H","được thực hiện tại ~"
"～史","～し","history of ~","JLPT JLPT_2","y`(f6xau3#","lịch sử của ~"
"～紙","～し","newspaper, type of paper","JLPT JLPT_2","y0d}(mMiCt","báo, loại giấy"
"～寺","～じ","the name of temple","JLPT JLPT_2","Nj@/ru^JH5","tên của ngôi đền"
"～時間目","～じかんめ","~th hour, ~th period","JLPT JLPT_2","LonTM0:Ie8","~giờ thứ, ~tiết thứ"
"～室","～しつ","counter for room","JLPT JLPT_2","eycwn`U+hZ","quầy tính tiền phòng"
"～日","～じつ","day","JLPT JLPT_2","jkFuTgpXi`","ngày"
"～車","～しゃ","~ car","JLPT JLPT_2","h)<Q^X85ag","~ xe hơi"
"～者","～しゃ","person","JLPT JLPT_2","MTv(a]7l!6","người"
