"expression","reading","meaning","tags","guid","meaning_vi"
"作法","さほう","manners, etiquette, propriety","JLPT JLPT_2 JLPT_3","HYeQ[!t+v+","cách cư xử, phép lịch sự, phép lịch sự"
"様々","さまざま","varied, various","JLPT JLPT_2 JLPT_3","l>?/o{CjV<","đa dạng, đa dạng"
"冷ます","さます","to cool, to let cool","JLPT JLPT_2 JLPT_3","m(o0n4^}Z$","để nguội, để nguội"
"覚ます","さます","to awaken","JLPT JLPT_2 JLPT_3","t9@aJ[u<UZ","đánh thức"
"冷める","さめる","to become cool, to wear off","JLPT JLPT_2 JLPT_3","LR.A;82:W|","trở nên mát mẻ, mòn mỏi"
"覚める","さめる","to wake, to wake up","JLPT JLPT_2 JLPT_3","Dob+O4(+<L","thức dậy, thức dậy"
"左右","さゆう","left and right; influence","JLPT JLPT_2 JLPT_3","d8br}6f4&T","trái và phải; ảnh hưởng"
"皿","さら","plate, dish","JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki","p*f@mDk_ih","đĩa, món ăn"
"更に","さらに","furthermore, moreover","JLPT JLPT_2 JLPT_3","n=YLy+|9V>","hơn nữa, hơn nữa"
"去る","さる","to leave, to go away","JLPT JLPT_2 JLPT_3","q:@^dVE|Ux","rời đi, đi xa"
"猿","さる","monkey","JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki","I;FmV}C|Mm","con khỉ"
"騒ぎ","さわぎ","uproar, disturbance","JLPT JLPT_2 JLPT_3","b-,^J/-<a(","sự náo động, sự xáo trộn"
"参加","さんか","participation","JLPT JLPT_2 JLPT_3","NJ??D?6U!^","sự tham gia"
"参考","さんこう","reference, consultation","JLPT JLPT_2 JLPT_3","Han8<B?^r0","tham khảo, tư vấn"
"賛成","さんせい","approval, agreement","JLPT JLPT_2 JLPT_3","emfZ/!E,?[","sự chấp thuận, thỏa thuận"
"酸性","さんせい","acidity","JLPT JLPT_2 JLPT_3","geVhjMXt@#","tính axit"
"酸素","さんそ","oxygen","JLPT JLPT_2 JLPT_3","DM##q[%RFu","ôxy"
"氏","し","family name, lineage","JLPT JLPT_2 JLPT_3","LAOK_nHPS/","họ, dòng họ"
"詩","し","poem; poetry","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13","PI;rr><.*1","bài thơ; thơ ca"
"幸せ","しあわせ","happiness, blessing","JLPT JLPT_2 JLPT_3","MYpn~@*11o","hạnh phúc, phước lành"
"ジーンズ","ジーンズ","jeans","JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki","o3hhzYEH)l","quần jean"
"ジェット機","ジェットき","jet plane","JLPT JLPT_2 JLPT_3","fS!]EX&j7m","máy bay phản lực"
"四角","しかく","square","JLPT JLPT_2 JLPT_3","J[L(f7xE~B","quảng trường"
"直に","じかに","immediately, readily, directly","JLPT JLPT_2 JLPT_3","Gui,0]IdY5","ngay lập tức, sẵn sàng, trực tiếp"
"しかも","しかも","moreover, furthermore, besides, plus","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2","NW!O~u6B#]","hơn nữa, hơn nữa, bên cạnh đó, cộng thêm"
"四季","しき","four seasons","JLPT JLPT_2 JLPT_3","j=w0weSQi)","bốn mùa"
"直","じき","immediately, soon, shortly","JLPT JLPT_2 JLPT_3","wd?tx<3Bac","ngay lập tức, chẳng bao lâu nữa, chẳng bao lâu nữa"
"時期","じき","time, season, period","JLPT JLPT_2 JLPT_3","DJ<W>Fb$j>","thời gian, mùa, thời kỳ"
"支給","しきゅう","payment, allowance","JLPT JLPT_2 JLPT_3","MpCDrKuR@c","thanh toán, trợ cấp"
"至急","しきゅう","urgent, pressing","JLPT JLPT_2 JLPT_3","K+,ttKQ<dz","cấp bách, cấp bách"
"しきりに","しきりに","frequently, repeatedly, eagerly","JLPT JLPT_2 JLPT_3","E|Rw@W(/Em","thường xuyên, nhiều lần, háo hức"
"刺激","しげき","stimulus, impetus, incentive","JLPT JLPT_2 JLPT_3","PD*^rLK60i","sự kích thích, sự thúc đẩy, sự khuyến khích"
"資源","しげん","resources","JLPT JLPT_2 JLPT_3","m(PG+T&|gr","tài nguyên"
"事件","じけん","event, affair, incident","JLPT JLPT_2 JLPT_3","MbFCnlA+g8","sự việc, sự việc, sự việc"
"時刻","じこく","time, hour","JLPT JLPT_2 JLPT_3","oN.E,s)Z}n","thời gian, giờ"
"自殺","じさつ","suicide","JLPT JLPT_2 JLPT_3","y#JDw}f8E1","tự tử"
"事実","じじつ","fact, truth, reality","JLPT JLPT_2 JLPT_3","qUB-Jtt?i`","sự thật, sự thật, sự thực"
"支出","ししゅつ","expenditure, expenses","JLPT JLPT_2 JLPT_3","PrmuroD(_w","chi phí, chi phí"
"事情","じじょう","circumstances, situation, reasons","JLPT JLPT_2 JLPT_3","B&D.VmCJRe","hoàn cảnh, hoàn cảnh, lý do"
"詩人","しじん","poet","JLPT JLPT_2 JLPT_3","J|*bb(L^Qr","nhà thơ"
"自身","じしん","oneself","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14","Mms_kL$qBA","chính mình"
"沈む","しずむ","to sink; to feel depressed","JLPT JLPT_2 JLPT_3","v(wY-5e=dv","chìm; cảm thấy chán nản"
"自然","しぜん","nature, spontaneous","JLPT JLPT_2 JLPT_3","K#D]Lme)]J","tính chất, tự phát"
"思想","しそう","thought, idea","JLPT JLPT_2 JLPT_3","udM,dvR}EZ","suy nghĩ, ý tưởng"
"舌","した","tongue","JLPT JLPT_2 JLPT_3","i22E-x*lSS","lưỡi"
"次第","しだい","order; circumstances; immediate(ly)","JLPT JLPT_2 JLPT_3","m7IQESq>:Z","đặt hàng; trường hợp; ngay lập tức)"
"従う","したがう","to abide (by the rules), to obey","JLPT JLPT_2 JLPT_3","jQOK[Z2G2a","tuân thủ (theo các quy tắc), tuân theo"
"したがって","したがって","therefore, consequently","JLPT JLPT_2 JLPT_3","zE+XZL-yO%","do đó, do đó"
"親しい","したしい","intimate, close (e.g., friend)","JLPT JLPT_2 JLPT_3","JLb1]#eUH.","thân mật, gần gũi (ví dụ: bạn bè)"
"質","しつ","quality, nature (of person)","JLPT JLPT_2 JLPT_3","i9bGgE8&)u","phẩm chất, bản chất (của con người)"
"失業","しつぎょう","unemployment","JLPT JLPT_2 JLPT_3","L*e(K1S8y>","nạn thất nghiệp"
