"expression","reading","meaning_en","meaning_vi"
"吧","ba","(modal particle indicating suggestion or surmise)","( trợ từ tình thái biểu thị sự gợi ý hoặc phỏng đoán)"
"白","bái","white","trắng"
"百","bǎi","hundred","trăm"
"帮助","bāng zhù","assistance","hỗ trợ"
"报纸","bào zhǐ","newspaper","báo"
"比","bǐ","(particle used for comparison and ""-er than"")","(phân từ dùng để so sánh và ""-er than"")"
"别","bié","to leave","rời đi"
"长","cháng","length","chiều dài"
"唱歌","chàng gē","to sing a song","hát một bài hát"
"出","chū","to go out","đi ra ngoài"
"穿","chuān","to bore through","để vượt qua"
"船","chuán","a boat","một chiếc thuyền"
"次","cì","next in sequence","trình tự tiếp theo"
"从","cóng","from","từ"
"错","cuò","mistake","sai lầm"
"打篮球","dá lán qiú","Play basketball","Chơi bóng rổ"
"大家","dà jiā","everyone","mọi người"
"但是","dàn shì","but","Nhưng"
"到","dào","to (a place)","đến (một nơi)"
"得","de","structural particle: used after a verb (or adjective as main verb)","Hạt cấu trúc: dùng sau động từ (hoặc tính từ làm động từ chính)"
"得","děi","to have to","phải"
"弟弟","dì di","younger brother","em trai"
"第一","dì yī","first","Đầu tiên"
"懂","dǒng","to understand","để hiểu"
"房间","fáng jiān","room","phòng"
"非常","fēi cháng","unusual","bất thường"
"服务员","fú wù yuán","waiter","phục vụ nam"
"高","gāo","high","cao"
"告诉","gào su","to tell","kể"
"哥哥","gē ge","older brother","anh trai"
"给","gěi","to","ĐẾN"
"公共汽车","gōng gòng qì chē","bus","xe buýt"
"公斤","gōng jīn","kilogram (kg)","kilôgam (kg)"
"公司","gōng sī","(business) company","(kinh doanh) công ty"
"贵","guì","expensive","đắt"
"还","hái","still","vẫn"
"孩子","hái zi","child","đứa trẻ"
"好吃","hǎo chī","tasty","ngon"
"号","hào","ordinal number","số thứ tự"
"黑","hēi","black","đen"
"红","hóng","red","màu đỏ"
"欢迎","huān yíng","to welcome","chào đón"
"还","huán","to pay back","trả lại"
"回答","huí dá","to reply","trả lời"
"机场","jī chǎng","airport","sân bay"
"鸡蛋","jī dàn","(chicken) egg","(gà) trứng"
"件","jiàn","item","mục"
"教室","jiào shì","classroom","lớp học"
"姐姐","jiě jie","older sister","chị gái"
"介绍","jiè shào","to introduce (sb to sb)","để giới thiệu (sb với sb)"
"进","jìn","to advance","tiến lên"
"近","jìn","near","gần"
"就","jiù","at once","cùng một lúc"
"觉得","jué de","to think","suy nghĩ"
"咖啡","kā fēi","coffee","cà phê"
"开始","kāi shǐ","to begin","bắt đầu"
"考试","kǎo shì","to take an exam","đi thi"
"可能","kě néng","might (happen)","có thể (xảy ra)"
"可以","kě yǐ","can","Có thể"
"课","kè","subject","chủ thể"
"快","kuài","rapid","nhanh"
"快乐","kuài lè","happy","vui mừng"
"累","lèi","tired","mệt"
"离","lí","to leave","rời đi"
"两","liǎng","both","cả hai"
"路","lù","road","đường"
"旅游","lǚ yóu","trip","chuyến đi"
"卖","mài","to sell","bán"
"慢","màn","slow","chậm"
"忙","máng","busy","bận"
"每","měi","each","mỗi"
"妹妹","mèi mei","younger sister","em gái"
"门","mén","gate","cổng"
"男人","nán rén","a man","một người đàn ông"
