expression,reading,meaning_en,meaning_vi
爱情,ài qíng,romance,lãng mạn
安排,ān pái,to arrange,sắp xếp
安全,ān quán,safe,an toàn
暗,àn,to close (a door),đóng (một cánh cửa)
按时,àn shí,on time,đúng giờ
按照,àn zhào,according to,theo
包括,bāo kuò,to comprise,bao gồm
保护,bǎo hù,to protect,để bảo vệ
保证,bǎo zhèng,guarantee,bảo đảm
抱,bào,to hold,giữ
抱歉,bào qiàn,to be sorry,xin lỗi
报道,bào dào,report,báo cáo
报名,bào míng,to sign up,để đăng ký
倍,bèi,(two,(hai
本来,běn lái,original,nguyên bản
笨,bèn,stupid,ngốc nghếch
笔记本,bǐ jì běn,notebook,sổ tay
毕业,bì yè,graduation,tốt nghiệp
遍,biàn,everywhere,ở khắp mọi nơi
标准,biāo zhǔn,(an official) standard,(chính thức) tiêu chuẩn
表达,biǎo dá,to voice (an opinion),lên tiếng (một ý kiến)
表格,biǎo gé,form,hình thức
表扬,biǎo yáng,to praise,khen ngợi
饼干,bǐng gān,biscuit,bánh quy
并且,bìng qiě,and,Và
博士,bó shì,doctor,bác sĩ
不但,bù dàn,not only (... but also...),không chỉ (... mà còn...)
不过,bù guò,only,chỉ một
不得不,bù dé bù,have no choice or option but to,không có sự lựa chọn hoặc lựa chọn nào khác ngoài việc
不管,bù guǎn,no matter (what,không có vấn đề gì (cái gì
不仅,bù jǐn,not only (this one),không chỉ (cái này)
部分,bù fèn,part,phần
擦,cā,to wipe,lau
猜,cāi,to guess,đoán
材料,cái liào,material,vật liệu
参观,cān guān,to look around,nhìn xung quanh
差不多,chà bu duō,almost,hầu hết
长城,Cháng chéng,the Great Wall,Vạn Lý Trường Thành
长江,Cháng Jiāng,Yangtze River,sông Dương Tử
尝,cháng,to taste,nếm thử
场,chǎng,large place used for a specific purpose,nơi rộng lớn được sử dụng cho một mục đích cụ thể
超过,chāo guò,to surpass,vượt qua
吵,chǎo,to quarrel,cãi nhau
乘坐,chéng zuò,to ride (in a vehicle),đi xe (trong một chiếc xe)
成功,chéng gōng,success,thành công
成熟,chéng shú,mature,trưởng thành
成为,chéng wéi,to become,trở thành
诚实,chéng shí,honest,trung thực
吃惊,chī jīng,to be startled,bị giật mình
重新,chóng xīn,again,lại
抽烟,chōu yān,to smoke (a cigarette,to smoke (a cigarette
出差,chū chāi,to go on an official or business trip,to go on an official or business trip
出发,chū fā,to start out,to start out
出生,chū shēng,to be born,to be born
传真,chuán zhēn,fax,fax
