"expression","reading","meaning","tags","guid","meaning_vi"
"踏む","ふむ","to step on, to tread on","JLPT JLPT_N4","MD)?c2/f%j","bước lên, giẫm lên"
"～区","～く","~ district, ~ ward, ~ borough","JLPT JLPT_N4","jyNlO!<_rh","~ quận, ~ phường, ~ quận"
"すっと","すっと","straight, quickly","JLPT JLPT_N4","k|7>>bJ_;p","thẳng, nhanh chóng"
"盗む","ぬすむ","to steal; to rob","Genki Genki_Ln.21 JLPT JLPT_N4","yRRr.o{S!G","ăn trộm; cướp"
"大抵","たいてい","generally, usually","Genki Genki_Ln.3 JLPT JLPT_N4","F4RWhn9KV7","nói chung, thông thường"
"とうとう","とうとう","finally, at last","JLPT JLPT_N4","b~a!BAlss]","cuối cùng, cuối cùng"
"ガソリン","ガソリン","gasoline, petrol","Genki Genki_Ln.21 JLPT JLPT_N4","DtjnF2f-}S","xăng, xăng"
"鳴る","なる","to sound, to ring (v.i.)","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","N2XM.u#*9T","phát ra âm thanh, rung lên (v.i.)"
"しっかり","しっかり","firmly, steady","JLPT JLPT_N4","s1@<ogH]|l","chắc chắn, ổn định"
"生きる","いきる","to live","JLPT JLPT_N4","PsYPR<^eS}","sống"
"苦い","にがい","bitter","JLPT JLPT_N4","s7onh_qmu>","vị đắng"
"沸く","わく","to boil, to grow hot","JLPT JLPT_N4","PG:x_[8:n{","đun sôi, trở nên nóng"
"意見","いけん","opinion, view, idea","JLPT JLPT_N4","rm|oi`$1Dg","ý kiến, quan điểm, ý tưởng"
"やはり; やっぱり","やはり; やっぱり","as I thought, absolutely","JLPT JLPT_N4","uKv@@b~bnv","như tôi nghĩ, hoàn toàn"
"漫画","まんが","comic (book), cartoon","Genki Genki_Ln.14 JLPT JLPT_N4","l|R^YmR+|c","truyện tranh (sách), phim hoạt hình"
"ステレオ","ステレオ","stereo","JLPT JLPT_N4","j)<hxBenH^","âm thanh nổi"
"医学","いがく","medical science","JLPT JLPT_N4","j>$AcgpmMe","khoa học y tế"
"テキスト","テキスト","text; text book","JLPT JLPT_N4","tNueVeWq/i","chữ; sách văn bản"
"～月","～つき","month","JLPT JLPT_N4","fmd>SOFFek","tháng"
