"expression","reading","meaning","tags","guid","meaning_vi"
"ああ","ああ","Ah!, Oh!","JLPT JLPT_4 JLPT_5 JLPT_N5","HI-.Ij?HS~","À!, Ồ!"
"会う","あう","to meet, to see","JLPT JLPT_3 JLPT_5 JLPT_N5","kupB!kWE}<","gặp, để xem"
"青","あお","blue","JLPT JLPT_5 JLPT_N5","HB)I{+$j.i","màu xanh da trời"
"青い","あおい","blue","Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5","q(A)lc.Kr8","màu xanh da trời"
"赤","あか","red","JLPT JLPT_5 JLPT_N5","y!Fn9IOz@J","màu đỏ"
"赤い","あかい","red","Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5","D`aKGX2j!#","màu đỏ"
"明るい","あかるい","bright (in reference to personality or weather); cheerful","Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5","m>)z8|k.>J","tươi sáng (liên quan đến tính cách hoặc thời tiết); vui vẻ"
"秋","あき","fall (season)","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5","H~$iS3{X?*","mùa thu (mùa)"
"開く","あく","to open, to become open","JLPT JLPT_3 JLPT_5 JLPT_N5","m[4![DH*c~","mở ra, trở nên cởi mở"
"開ける","あける","to open (v.t.)","Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5","y.#AVx@-k>","mở (v.t.)"
"上げる","あげる","to raise, to lift","JLPT JLPT_3 JLPT_5 JLPT_N5","Hp0]9?Ae.w","nâng lên, nâng lên"
"朝","あさ","morning","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","g|Q>VbnCii","buổi sáng"
"朝御飯","あさごはん","breakfast","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","wWUR=G6*(U","bữa sáng"
"明後日","あさって","day after tomorrow","JLPT JLPT_5 JLPT_N5","mF[0Aq7|V7","ngày mốt"
"足; 脚","あし","foot; leg","JLPT JLPT_5 JLPT_N5","m.INsC.wC2","chân; chân"
"明日","あした","tomorrow","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5","xZI7N3AauN","Ngày mai"
"あそこ","あそこ","there, over there, that place","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","P>AI.lx+Jq","ở đó, ở kia, nơi đó"
"遊ぶ","あそぶ","to play; to spend time pleasantly; to hang out","Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","e<h|f2`;&","đi chơi; dành thời gian một cách vui vẻ; đi chơi"
"暖かい","あたたかい","warm","JLPT_N5","tk[pUMy0{i","ấm"
"頭","あたま","head","Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","DaKiPvzaex","cái đầu"
"新しい","あたらしい","new","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","h)6JB@Q5Rj","mới"
"あちら","あちら","this way (polite)","Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5","h{rLO32/d4","lối này (lịch sự)"
"暑い","あつい","hot (in reference to weather), warm","Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","gSl8i,<}^I","nóng (liên quan đến thời tiết), ấm áp"
"熱い","あつい","hot (objects)","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","Gy7fB=0YXx","nóng (đồ vật)"
"厚い","あつい","kind, warm(hearted), thick, deep","JLPT JLPT_5 JLPT_N5","v[2GvOysf?","tốt bụng, ấm áp (trái tim), dày dặn, sâu sắc"
"あっち","あっち","over there","JLPT JLPT_5 JLPT_N5","Pv=fA$Z6K5","đằng kia"
"後","あと","afterwards (later); in the future; the rest; since then","Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5","r-[yF55!,-","sau đó (sau này); trong tương lai; phần còn lại; kể từ đó"
"あなた","あなた","you","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","dwd.i?n%,!","Bạn"
"兄","あに","(my) older brother (humble)","Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5","L}%Kue=51s","(của tôi) anh trai (khiêm tốn)"
"姉","あね","(my) older sister (humble)","Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5","IX6p9}CO.e","(của tôi) chị gái (khiêm tốn)"
"アパート","アパート","apartment (abbr.)","Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5","wZ/2ki)d+f","căn hộ (viết tắt)"
"あの","あの","that over there; like that, that way; um...","JLPT JLPT_4 JLPT_5 JLPT_N5","B2LX%goFyX","cái đó ở đằng kia; như thế, như thế; ừm..."
"浴びる","あびる","to bathe, to shower","JLPT JLPT_3 JLPT_5 JLPT_N5","b2.2F3UI=#","tắm, tắm"
